,makanan,air,kalori,protein,lemak,karbohidrat,serat,Mentah/Olahan,Kategori,vegan/nonvegan
0,Nasi,56.7,180,3.0,0.3,39.8,0.2,Olahan,Serealia,vegan
1,Nasi tim,71.0,120,2.4,0.4,26.0,0.5,Olahan,Serealia,vegan
2,Tapai beras,75.5,99,1.7,0.3,22.4,0.0,Olahan,Serealia,vegan
3,Nasi beras merah,64.0,149,2.8,0.4,32.5,0.3,Olahan,Serealia,vegan
4,Bihun goreng instan,9.0,381,6.1,3.9,80.3,0.0,Olahan,Serealia,vegan
5,Nasi jagung,11.0,357,8.8,0.5,79.5,6.2,Olahan,Serealia,vegan
6,"Jagung muda, rebus",53.2,142,5.0,0.7,30.3,0.8,Olahan,Serealia,vegan
7,"Jagung kuning, tepung",12.0,355,9.2,3.9,73.7,7.2,Olahan,Serealia,vegan
8,"Jagung kuning pipil, rebus",63.7,154,3.8,3.5,28.4,0.7,Olahan,Serealia,vegan
9,Tepung jagung putih,12.0,355,9.2,3.9,73.7,7.2,Olahan,Serealia,vegan
10,Ketupat ketan,52.0,212,4.0,4.6,38.6,0.2,Olahan,Serealia,vegan
11,"Ketan hitam, matang",56.9,181,4.0,1.2,37.3,0.3,Olahan,Serealia,vegan
12,Tapai ketan hitam,50.2,166,3.8,1.0,34.4,0.3,Olahan,Serealia,vegan
13,"Ketan putih, matang",60.7,163,3.0,0.4,35.7,0.2,Olahan,Serealia,vegan
14,Tapai ketan putih,58.9,172,3.0,0.5,37.5,0.6,Olahan,Serealia,vegan
15,"Maizena, tepung",14.0,341,0.3,0.0,85.0,7.0,Olahan,Serealia,vegan
16,Mi basah,80.0,88,0.6,3.3,14.0,0.1,Olahan,Serealia,vegan
17,Mi kering,10.6,339,10.0,1.7,6.3,0.4,Olahan,Serealia,vegan
18,Misoa,10.0,345,8.5,2.2,78.0,0.5,Olahan,Serealia,vegan
19,Roti putih,40.0,248,8.0,1.2,50.0,9.1,Olahan,Serealia,vegan
20,Tepung terigu,11.8,333,9.0,1.0,77.2,0.3,Olahan,Serealia,vegan
21,Amparan tatak,58.4,191,1.3,5.5,34.0,0.0,Olahan,Serealia,vegan
22,"Apang kukus, kue",49.5,202,3.0,0.3,46.7,0.0,Olahan,Serealia,vegan
23,"Apem, kue",63.1,148,2.0,0.5,33.9,0.0,Olahan,Serealia,vegan
24,Biskuit,2.2,458,6.9,14.4,75.1,2.1,Olahan,Serealia,vegan
25,"Bakpia, kue",38.9,272,8.7,6.7,44.1,0.9,Olahan,Serealia,vegan
26,Bakwan,40.5,280,8.2,10.2,39.0,3.4,Olahan,Serealia,vegan
27,Bantal,52.3,190,3.3,0.3,43.5,3.4,Olahan,Serealia,vegan
28,Baruasa,5.3,417,6.5,8.2,79.3,0.0,Olahan,Serealia,vegan
29,Batar daan,75.3,107,2.2,2.2,19.6,0.0,Olahan,Serealia,vegan
30,Bika ambon,51.5,199,2.1,1.5,44.4,0.3,Olahan,Serealia,vegan
